state,Y85_larger,R5_14,R15_24,R25_34,R35_44,R45_54,R55_64,R65_74,R75_84,R85_larger
North Dakota,0,0,0.1906002702181046,0.3675384417422634,0.15062407514636814,0.13596152608891462,0.15527568680434922,0,0,0
Ohio,87219,0.07578068792775139,0.15709747043788214,0.15616433442446875,0.14155565713067594,0.15571903228517375,0.16523578978869413,0.11484501025885942,0.02466328189213952,0.008938735854354942
Oklahoma,25666,0,0.18054874330280588,0.1829153282894911,0.16199926310330065,0.15716216320417972,0.16471082839191237,0.11758531222058356,0.0264736341512395,0.008604727336487216
Oregon,30566,0,0.15201368092813472,0.174468687104049,0.16262270097281054,0.153195961344364,0.1627481213689012,0.12831011768118492,0.05755637082115289,0.009084359779402761
Pennsylvania,111989,0,0.15862281853173707,0.16253372144295386,0.14297988066601336,0.1635462189872695,0.17439502573884455,0.12313641111154211,0.06400651602184237,0.010779407499797144
Rhode Island,0,0,0.21561360511686292,0.21023657236222243,0.17445325909669265,0.1973134761705507,0.20238308725367127,0,0,0
South Carolina,0,0,0.16911206450600047,0.17127830694911633,0.15548792571412395,0.1673733055722128,0.17174902780315685,0.13731717423363093,0.02768219522175868,0
South Dakota,0,0,0.1886873611011542,0.18451688916456532,0.16275438164493636,0.15737453518562963,0.18077967253379548,0.12588716036991898,0,0
Tennessee,39455,0,0.16732937003332257,0.17576497433935298,0.160139476640234,0.17108358044794167,0.16829147639769262,0.12398565321726142,0.025834685795710317,0.0075707831284843735
Texas,141312,0.1578244377200997,0.15359700943452934,0.1599622305208077,0.14623024685294056,0.13628039964192173,0.12240198391230495,0.08029688581665968,0.03797567552069473,0.0054311305800416095
Utah,15197,0,0.23108654659071737,0.2131870088299912,0.1969326663068676,0.14798927314062643,0.13814000658078096,0.04488120571838172,0.020700564213414912,0.007082728619219795
Vermont,0,0,0.2207759297072598,0.18109250045078193,0.1680515012256395,0.1998888883474091,0.2301911802689097,0,0,0
Virginia,51409,0,0.16458858936338328,0.1737542750673236,0.1603352913495946,0.1684377258474272,0.1607375471485136,0.11134129733358938,0.05326898804227204,0.007536285847896293
Washington,47471,0,0.15535092511645826,0.1878901244177508,0.16362066736046407,0.15885287005288903,0.1609039948168659,0.11464018465840062,0.05075886403538198,0.007982369541789354
West Virginia,13817,0,0.08719569625667152,0.16385498678209645,0.1659586278860606,0.18118386308587617,0.19876147561247504,0.1581401203943986,0.03442721659616613,0.010478013386255503
Wisconsin,44551,0,0.17373150018816946,0.16247887814572892,0.15420919733177052,0.16889374579840052,0.18113542379892572,0.12272313853314915,0.026930669665529355,0.009897446538326363
Wyoming,0,0,0.1773148546410283,0.18723937935499643,0.16858109178827077,0.15462246510343328,0.18441414969189604,0.12782805942037515,0,0
